USE_LICENSE_URL,GUID,SCIENTIFIC_NAME,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,NumDate,Date,latitude,longitude,COORDINATEUNCERTAINTYINMETERS,NK
http://arctosdb.org/home/data/,MSB:Para:24735,Cephaluris,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",19-Aug-15,2015,19-Aug-15,50.54510001,100.531829,5,272133
http://arctosdb.org/home/data/,MSB:Para:24736,Cephaluris,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",19-Aug-15,2015,19-Aug-15,50.53681701,100.544973,3000,272135
http://arctosdb.org/home/data/,MSB:Para:24737,Cephaluris,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",19-Aug-15,2015,19-Aug-15,50.53681701,100.544973,3000,272135
http://arctosdb.org/home/data/,MSB:Para:24738,Cephaluris,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",19-Aug-15,2015,19-Aug-15,50.53681701,100.544973,3000,272135
http://arctosdb.org/home/data/,MSB:Para:24739,Eugenuris,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",19-Aug-15,2015,19-Aug-15,50.53681701,100.544973,3000,272135
http://arctosdb.org/home/data/,MSB:Para:24740,Eugenuris,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",19-Aug-15,2015,19-Aug-15,50.53681701,100.544973,3000,272135
http://arctosdb.org/home/data/,MSB:Para:24741,Eugenuris,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",19-Aug-15,2015,19-Aug-15,50.53681701,100.544973,3000,272135
http://arctosdb.org/home/data/,MSB:Para:24742,Labiostomum,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",19-Aug-15,2015,19-Aug-15,50.53681701,100.544973,3000,272135
http://arctosdb.org/home/data/,MSB:Para:24743,Arostrilepis,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",19-Aug-15,2015,19-Aug-15,50.53065103,100.541164,5,272147
http://arctosdb.org/home/data/,MSB:Para:24744,Catenotaenia,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",19-Aug-15,2015,19-Aug-15,50.55384401,100.498524,3000,272176
http://arctosdb.org/home/data/,MSB:Para:24745,Catenotaenia,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",19-Aug-15,2015,19-Aug-15,50.55384401,100.498524,3000,272176
http://arctosdb.org/home/data/,MSB:Para:24746,Graphidiella,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",19-Aug-15,2015,19-Aug-15,50.53737801,100.537347,5,272187
http://arctosdb.org/home/data/,MSB:Para:24747,Arostrilepis,Mongolia,Hovsgol,"Heegtsar River Valley, Chandmani-Ondor Sum",19-Aug-15,2015,19-Aug-15,50.53335202,100.533777,5,272192
